Adress: 4295003840, Name: extract_name
Adress: 4295003984, Name: test_hook
Adress: 4295004032, Name: esc
Adress: 4295004208, Name: coord
Adress: 4295004304, Name: gen_coord
Adress: 4295004384, Name: pixel_put
Adress: 4295004528, Name: pixel_put_add
Adress: 4295004624, Name: check_map
Adress: 4295005136, Name: exit_lst
Adress: 4295005200, Name: err_format_rgb
Adress: 4295005360, Name: str_to_rgb
Adress: 4295005520, Name: elem_textures
Adress: 4295006160, Name: ft_strschr
Adress: 4295006352, Name: parse
Adress: 4295007216, Name: fill_lst
Adress: 4295007440, Name: try_attack
Adress: 4295007568, Name: process_enemies
Adress: 4295009376, Name: draw_enemies
Adress: 4295010672, Name: change_map
Adress: 4295011072, Name: change_ui
Adress: 4295011248, Name: change_texture
Adress: 4295011536, Name: change_setting
Adress: 4295011632, Name: screen_pc
Adress: 4295011952, Name: button
Adress: 4295012640, Name: slider_param
Adress: 4295012704, Name: slider
Adress: 4295013952, Name: ui_frame1
Adress: 4295014864, Name: ui_frame2
Adress: 4295015920, Name: set_text
Adress: 4295016016, Name: ui_frame3
Adress: 4295019408, Name: ui_texture
Adress: 4295020464, Name: ui_setting
Adress: 4295022848, Name: create_l_pts
Adress: 4295023024, Name: change_case
Adress: 4295023408, Name: rotate_player_x
Adress: 4295023664, Name: key_hook_down
Adress: 4295023712, Name: key_hook_up
Adress: 4295023760, Name: jump
Adress: 4295023872, Name: check_inputs
Adress: 4295024656, Name: move_player
Adress: 4295025696, Name: load_texture
Adress: 4295026880, Name: free_textures
Adress: 4295027232, Name: load_animtexture
Adress: 4295027424, Name: get_texture
Adress: 4295027792, Name: get_animsize
Adress: 4295028096, Name: get_animtexture
Adress: 4295028272, Name: mouse_hook_up
Adress: 4295028336, Name: mouse_hook
Adress: 4295028528, Name: is_in_window
Adress: 4295028640, Name: plot_line
Adress: 4295028912, Name: fill_line_struct
Adress: 4295029152, Name: add_shade
Adress: 4295029360, Name: vert_line
Adress: 4295029568, Name: line_texture
Adress: 4295030544, Name: dist
Adress: 4295030640, Name: draw_easy_texture
Adress: 4295031232, Name: draw_square_texture_center
Adress: 4295031904, Name: draw_other_players
Adress: 4295033296, Name: draw_square_center
Adress: 4295033584, Name: draw_square
